Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
LICETUS D|4,40|-47,99|6,0|6,0|?
LICETUS E|1,84|-44,62|19,0|19,0|?
LICETUS F|0,94|-46,07|32,0|32,0|?
LICETUS G|1,87|-43,85|11,0|11,0|?
LICETUS H|3,11|-45,98|10,0|10,0|?
LICETUS J|3,11|-44,27|12,0|12,0|?
LICETUS K|-0,01|-45,59|6,0|6,0|?
LICETUS M|1,85|-46,84|9,0|9,0|?
LICETUS N|2,21|-45,57|9,0|9,0|?
LICETUS P|2,27|-47,70|21,0|21,0|?
LICETUS Q|9,68|-47,25|8,0|8,0|?
LICETUS R|3,84|-45,29|7,0|7,0|?
LICETUS S|8,17|-45,28|11,0|11,0|?
LICETUS T|6,61|-45,89|7,0|7,0|?
LICETUS U|7,44|-47,03|7,0|7,0|?
LICETUS W|8,50|-45,99|7,0|7,0|?
LICHTENBERG|-67,72|31,85|20,0|20,0|1200
LICHTENBERG A|-60,11|28,97|7,0|7,0|?
LICHTENBERG R|-70,06|34,58|34,0|34,0|?
LICK|52,84|12,36|31,0|31,0|?
Lick 1|52,84|12,18|0,0|0,0|?
Lick 2|52,92|12,47|19,0|19,0|?
Lick 3|52,65|12,53|0,0|0,0|?
Lick 4|52,08|12,89|4,0|4,0|?
LICK A|52,84|11,48|23,0|23,0|?
LICK B|51,41|11,14|24,0|24,0|?
LICK C|51,92|11,48|9,0|9,0|?
LICK E|50,65|10,62|8,0|8,0|?
LICK F|50,06|10,04|22,0|22,0|?
LICK K|52,79|10,17|6,0|6,0|?
LICK N|47,90|9,67|23,0|23,0|?
LIEBIG|-48,30|-24,35|36,0|37,0|1500
LIEBIG A|-47,75|-24,28|12,0|12,0|?
LIEBIG B|-47,15|-25,01|9,0|9,0|?
LIEBIG F|-45,78|-24,67|9,0|9,0|?
LIEBIG G|-45,83|-26,14|20,0|20,0|?
Liebig G 1|-43,49|-26,49|8,0|8,0|60
LIEBIG H|-47,41|-26,32|11,0|11,0|?
LIGHT MANTLE|30,80|20,20|4,0|4,0|
LILIUS|6,09|-54,60|61,0|61,0|3000
LILIUS A|8,78|-55,43|41,0|41,0|?
LILIUS B|3,76|-53,02|29,0|29,0|?
LILIUS C|3,25|-54,42|40,0|40,0|?
LILIUS D|2,95|-50,57|51,0|51,0|?
LILIUS E|2,86|-50,26|38,0|38,0|?
LILIUS F|1,55|-49,38|43,0|43,0|?
LILIUS G|0,66|-50,14|7,0|7,0|?
LILIUS H|0,75|-50,55|9,0|9,0|?
LILIUS J|1,71|-56,40|13,0|13,0|?
LILIUS K|2,15|-53,63|23,0|23,0|?
LILIUS L|2,40|-54,94|6,0|6,0|?
LILIUS M|2,81|-56,29|11,0|11,0|?
LILIUS O|3,54|-55,50|7,0|7,0|?
LILIUS R|4,31|-54,70|9,0|9,0|?
LILIUS S|5,82|-52,80|14,0|14,0|?
LILIUS U|7,58|-53,60|8,0|8,0|?
LILIUS W|8,33|-53,81|9,0|9,0|?
LINDA|-33,38|30,69|1,1|1,1|
LINDBERGH|52,90|-5,41|13,0|13,0|?
LINDENAU|24,77|-32,35|53,0|53,0|2900
LINDENAU D|24,93|-30,44|10,0|10,0|?
LINDENAU E|26,49|-31,68|8,0|8,0|?
LINDENAU F|26,36|-32,50|10,0|10,0|?
LINDENAU G|27,30|-33,28|10,0|10,0|?
LINDENAU H|26,28|-31,37|11,0|11,0|?
LINDSAY|13,01|-7,00|31,0|31,0|1550
LINNE|11,80|27,75|3,0|3,0|600
Linne 1|8,84|26,17|0,0|0,0|?
Linne 2|11,80|27,71|0,0|0,0|?
Linne 3|9,64|30,66|38,0|38,0|?
Linne 4|10,76|29,14|19,0|38,0|?
Linne A 1|10,18|30,66|35,0|35,0|300
LIOUVILLE|73,57|2,73|17,0|17,0|?
LITTROW|31,39|21,50|31,0|31,0|1200
LITTROW A|32,19|22,30|23,0|23,0|?
LITTROW D|32,81|23,70|8,0|8,0|?
LITTROW F|34,12|21,97|12,0|12,0|?
LITTROW P|32,88|23,20|36,0|36,0|?
LOCKYER|36,59|-46,27|35,0|35,0|3700
LOCKYER A|30,99|-44,12|10,0|10,0|?
LOCKYER F|36,42|-47,59|20,0|20,0|?
LOCKYER G|33,32|-45,68|24,0|24,0|?
LOCKYER H|32,38|-44,48|31,0|31,0|?
LOCKYER J|32,22|-45,06|13,0|13,0|?
LOEWY|-32,85|-22,69|27,0|22,0|1090
LOEWY A|-32,54|-22,32|7,0|7,0|?
LOHRMANN|-67,38|-0,44|31,0|31,0|?
Lohrmann 1|-65,84|-1,72|9,0|9,0|?
LOHRMANN A|-62,78|-0,75|12,0|12,0|?
Lohrmann A 1|-63,40|-2,92|10,0|10,0|?
LOHRMANN B|-69,54|-0,75|14,0|14,0|?
LOHRMANN D|-65,27|-0,14|11,0|11,0|?
Lohrmann D 1|-64,16|0,29|20,0|25,0|290
LOHRMANN E|-67,59|-1,76|10,0|10,0|?
LOHRMANN F|-69,23|-1,39|11,0|11,0|?
LOHRMANN M|-69,00|-0,48|7,0|7,0|?
LOHRMANN N|-70,19|-0,60|8,0|8,0|?
LOHSE|60,31|-13,76|41,0|41,0|2200
LONGOMONTANUS|-21,88|-49,55|146,0|146,0|?
LONGOMONTANUS A|-24,15|-52,94|29,0|29,0|?
LONGOMONTANUS B|-20,92|-52,93|48,0|48,0|?
LONGOMONTANUS C|-19,11|-53,49|31,0|31,0|?
LONGOMONTANUS D|-22,92|-54,38|29,0|29,0|?
LONGOMONTANUS E|-18,11|-51,35|8,0|8,0|?
LONGOMONTANUS F|-23,71|-48,31|19,0|19,0|?
LONGOMONTANUS G|-18,51|-48,69|15,0|15,0|?
LONGOMONTANUS H|-23,32|-52,02|7,0|7,0|?
LONGOMONTANUS K|-20,95|-47,91|15,0|15,0|?
LONGOMONTANUS L|-23,70|-49,09|16,0|16,0|?
LONGOMONTANUS M|-23,29|-48,61|10,0|10,0|?
LONGOMONTANUS N|-25,86|-50,93|12,0|12,0|?
LONGOMONTANUS P|-25,31|-48,13|7,0|7,0|?
LONGOMONTANUS Q|-20,60|-52,06|11,0|11,0|?
LONGOMONTANUS R|-26,32|-52,45|9,0|9,0|?
LONGOMONTANUS S|-23,36|-47,34|12,0|12,0|?
LONGOMONTANUS U|-22,09|-51,98|7,0|7,0|?
LONGOMONTANUS W|-21,36|-47,13|10,0|10,0|?
LONGOMONTANUS Z|-18,00|-49,91|95,0|95,0|?
LOUVILLE|-46,04|44,12|36,0|24,0|1000
LOUVILLE A|-45,34|43,28|8,0|8,0|?
LOUVILLE B|-46,52|44,06|8,0|8,0|?
LOUVILLE D|-52,14|46,85|7,0|7,0|?
LOUVILLE DA|-51,72|46,58|11,0|11,0|?
LOUVILLE E|-45,95|43,18|6,0|6,0|?
LOUVILLE P|-52,21|45,60|7,0|7,0|?
LUBBOCK|41,79|-3,99|15,0|15,0|580
LUBBOCK C|39,88|-4,89|8,0|8,0|?
LUBBOCK D|39,17|-4,58|13,0|13,0|?
LUBBOCK G|39,30|-3,71|10,0|10,0|?
LUBBOCK H|41,79|-2,67|10,0|10,0|?
LUBBOCK K|38,35|-5,15|7,0|7,0|?
LUBBOCK L|39,29|-4,99|7,0|7,0|?
LUBBOCK M|38,69|-0,41|19,0|19,0|?
LUBBOCK N|39,73|-1,57|26,0|26,0|?
LUBBOCK P|39,53|-2,93|7,0|7,0|?
LUBBOCK R|40,45|-0,17|24,0|24,0|?
LUBBOCK S|41,31|0,63|24,0|24,0|?
Lubbock S 1|38,32|0,52|0,0|0,0|?
LUBINIEZKY|-23,89|-17,88|45,0|45,0|770
Lubiniezky 1|-23,85|-17,82|5,0|5,0|?
Lubiniezky 2|-22,87|-16,32|6,0|6,0|?
LUBINIEZKY A|-25,68|-16,51|30,0|30,0|?
LUBINIEZKY D|-23,49|-16,52|8,0|8,0|?
LUBINIEZKY E|-27,38|-16,61|37,0|37,0|?
LUBINIEZKY F|-21,86|-18,34|8,0|8,0|?
Luther 1|24,83|33,30|8,0|8,0|?
Luther 2|25,08|33,37|6,0|6,0|?
Luther 3|25,39|33,64|8,2|8,2|?
LUTHER H|22,80|36,05|7,0|7,0|?
Luther H 1|19,73|35,17|11,0|11,0|?
LYELL|40,56|13,63|31,0|31,0|?
LYELL A|39,60|14,32|7,0|7,0|?
Lyell C 1|37,68|15,13|11,0|6,0|?
Lyell C 2|37,93|15,25|10,0|10,0|?
Lyell C 3|38,08|15,96|5,0|5,0|?
LYELL D|41,46|14,91|18,0|18,0|?
LYOT|84,80|-50,47|141,0|141,0|?
LYOT A|79,94|-48,99|38,0|38,0|?
LYOT B|81,90|-50,51|9,0|9,0|?
LYOT C|80,11|-50,48|17,0|17,0|?
LYOT D|82,54|-51,69|14,0|14,0|?
LYOT E|83,91|-52,07|13,0|13,0|?
LYOT F|82,34|-52,34|21,0|21,0|?
LYOT H|78,00|-51,50|63,0|63,0|?
LYOT L|83,15|-54,25|70,0|70,0|?
LYOT M|86,68|-53,45|24,0|24,0|?
LYOT N|83,67|-52,93|12,0|12,0|?
LYOT P|85,81|-47,70|13,0|13,0|?
LYOT R|87,34|-46,17|30,0|30,0|?
LYOT S|85,57|-46,12|26,0|26,0|?
LYOT T|78,83|-46,88|8,0|8,0|?
MACKIN|30,70|20,10|0,0|0,0|
MACLAURIN|67,99|-1,92|50,0|50,0|?
MACLAURIN A|67,56|-3,23|29,0|29,0|?
MACLAURIN B|71,49|-3,68|43,0|43,0|?
MACLAURIN C|69,40|-1,25|26,0|26,0|?
MACLAURIN D|69,88|-7,07|10,0|10,0|?
MACLAURIN E|65,61|-3,50|20,0|20,0|?
MACLAURIN G|66,98|-7,08|12,0|12,0|?
MACLAURIN H|64,10|-1,58|41,0|41,0|?
MACLAURIN J|69,38|-2,57|16,0|16,0|?
MACLAURIN K|66,81|-0,97|34,0|34,0|?
MACLAURIN L|71,48|-1,41|30,0|30,0|?
MACLAURIN M|69,18|-4,88|42,0|42,0|?
MACLAURIN N|68,39|-3,82|29,0|29,0|?
MACLAURIN O|67,56|-0,14|37,0|37,0|?
MACLAURIN P|69,45|-6,11|29,0|29,0|?
MACLAURIN T|65,34|-1,86|35,0|35,0|?
MACLAURIN U|66,42|-4,04|19,0|19,0|?
MACLAURIN W|68,22|0,59|21,0|21,0|?
MACLAURIN X|68,71|0,09|24,0|24,0|?
MACLEAR|20,10|10,52|20,0|20,0|610
MACROBIUS|45,97|21,26|65,0|65,0|3700
Macrobius 1|44,79|22,27|5,0|5,0|?
MACROBIUS C|45,03|20,84|10,0|10,0|?
MACROBIUS E|46,81|18,71|10,0|10,0|?
MACROBIUS F|48,53|22,47|11,0|11,0|?
MACROBIUS K|40,23|21,46|12,0|12,0|?
MACROBIUS M|40,94|24,97|42,0|42,0|?
MACROBIUS P|39,52|22,95|18,0|18,0|?
MACROBIUS Q|47,63|20,40|9,0|9,0|?
MACROBIUS S|49,59|23,27|26,0|26,0|?
MACROBIUS T|48,55|23,78|29,0|29,0|?
MACROBIUS U|42,78|24,94|6,0|6,0|?
MACROBIUS W|44,62|24,72|26,0|26,0|?
MADLER|29,76|-11,04|28,0|28,0|2670
MAESTLIN R|-41,47|3,53|60,0|60,0|?
MAGELHAENS|44,07|-11,98|41,0|41,0|1960
Magelhaens 1|44,07|-12,12|12,0|18,0|?
MAGELHAENS A|44,99|-12,73|32,0|32,0|?
MAGINUS|-5,98|-50,03|164,0|164,0|4000
MAGINUS A|-4,42|-48,87|14,0|14,0|?
MAGINUS B|-6,29|-52,42|12,0|12,0|?
MAGINUS C|-9,50|-51,75|42,0|42,0|?
MAGINUS D|-2,29|-47,92|40,0|40,0|?
MAGINUS E|-1,72|-49,08|37,0|37,0|?
MAGINUS F|-8,30|-49,03|18,0|18,0|?
MAGINUS G|-7,85|-48,03|23,0|23,0|?
MAGINUS H|-10,08|-52,48|15,0|15,0|?
MAGINUS J|-2,87|-50,00|8,0|8,0|?
MAGINUS K|-3,92|-47,32|31,0|31,0|?
MAGINUS L|-8,98|-49,26|11,0|11,0|?
MAGINUS M|-9,38|-50,40|10,0|10,0|?
MAGINUS N|-9,08|-48,49|24,0|24,0|?
MAGINUS O|-12,65|-50,66|12,0|12,0|?
MAGINUS P|-11,81|-50,70|10,0|10,0|?
MAGINUS Q|-2,33|-50,85|9,0|9,0|?
MAGINUS R|-10,55|-48,83|9,0|9,0|?
MAGINUS S|-1,50|-49,82|13,0|13,0|?
MAGINUS T|-7,10|-52,39|6,0|6,0|?
MAGINUS U|-8,21|-47,38|9,0|9,0|?
MAGINUS V|-7,41|-49,41|9,0|9,0|?
MAGINUS W|-7,94|-49,42|8,0|8,0|?
MAGINUS X|-7,76|-51,39|7,0|7,0|?
MAGINUS Y|-9,18|-51,96|7,0|7,0|?
MAGINUS Z|-3,61|-50,33|18,0|18,0|?
MAIN|10,41|80,87|46,0|46,0|?
MAIN L|22,73|81,44|14,0|14,0|?
MAIN N|22,13|82,36|11,0|11,0|?
MAIRAN|-43,50|41,60|40,0|40,0|3400
MAIRAN A|-38,79|38,64|16,0|16,0|?
MAIRAN C|-46,10|38,64|7,0|7,0|?
MAIRAN D|-45,54|41,00|10,0|10,0|?
MAIRAN E|-37,24|37,81|6,0|6,0|?
MAIRAN F|-45,17|40,31|9,0|9,0|?
MAIRAN G|-50,83|40,90|6,0|6,0|?
MAIRAN K|-41,10|40,83|6,0|6,0|?
MAIRAN L|-43,22|39,07|6,0|6,0|?
MAIRAN N|-45,59|39,19|6,0|6,0|?
MAIRAN Y|-44,14|42,80|7,0|7,0|?
MALAPERT|11,40|-85,00|70,0|70,0|?
MALAPERT A|-3,79|-80,18|24,0|24,0|?
MALAPERT B|-2,93|-78,79|37,0|37,0|?
MALAPERT C|10,08|-80,98|40,0|40,0|?
MALAPERT E|19,83|-83,94|17,0|17,0|?
MALAPERT F|14,73|-81,53|11,0|11,0|?
MALAPERT K|6,37|-78,70|36,0|36,0|?
MALLET|54,05|-45,41|58,0|58,0|?
MALLET A|53,98|-45,99|28,0|28,0|?
MALLET B|52,17|-46,71|32,0|32,0|?
MALLET C|53,90|-44,02|28,0|28,0|?
MALLET D|56,90|-46,09|42,0|42,0|?
MALLET J|55,99|-48,79|52,0|52,0|?
MALLET K|57,15|-47,62|43,0|43,0|?
MALLET L|55,48|-47,83|13,0|13,0|?
MANILIUS|9,07|14,45|40,0|40,0|3100
Manilius 1|4,90|13,47|3,0|6,0|?
Manilius 2|7,48|14,42|4,0|4,0|?
Manilius 3|7,18|14,42|6,0|6,0|?
Manilius 4|8,31|14,48|3,0|5,0|?
Manilius 5|6,82|14,60|2,0|3,0|?
Manilius 6|4,93|14,95|2,0|3,0|?
Manilius 7|7,44|15,01|6,0|7,0|?
Manilius 8|5,77|15,13|9,0|12,0|239
MANILIUS B|7,28|16,61|6,0|6,0|?
MANILIUS C|10,34|12,07|7,0|7,0|?
Manilius D 1|6,67|13,36|8,0|13,0|?
Manilius D 2|6,68|13,77|7,0|11,0|?
MANILIUS E|6,35|18,38|49,0|49,0|?
MANNERS|19,99|4,57|15,0|15,0|1700
MANUEL|11,36|24,47|0,6|0,6|
MANZINUS|26,37|-67,51|98,0|98,0|3500
MANZINUS A|27,45|-68,51|20,0|20,0|?
MANZINUS B|21,12|-63,70|28,0|28,0|?
MANZINUS C|21,68|-69,99|25,0|25,0|?
MANZINUS D|24,21|-69,38|34,0|34,0|?
MANZINUS E|25,15|-68,98|18,0|18,0|?
MANZINUS F|19,64|-64,08|18,0|18,0|?
MANZINUS G|25,77|-69,64|16,0|16,0|?
MANZINUS H|19,14|-68,64|13,0|13,0|?
MANZINUS J|23,41|-66,40|12,0|12,0|?
MANZINUS K|20,28|-63,35|12,0|12,0|?
MANZINUS L|22,63|-64,44|20,0|20,0|?
MANZINUS M|22,70|-63,54|6,0|6,0|?
MANZINUS N|27,47|-69,98|14,0|14,0|?
MANZINUS P|29,33|-67,93|6,0|6,0|?
MANZINUS R|29,85|-65,92|16,0|16,0|?
MANZINUS S|27,29|-66,46|11,0|11,0|?
MANZINUS T|32,79|-67,60|21,0|21,0|?
MANZINUS U|34,40|-68,65|21,0|21,0|?
MARALDI|34,80|19,36|40,0|40,0|1300
Maraldi 1|35,67|14,30|6,0|6,0|?
Maraldi 2|38,73|18,60|0,0|0,0|?
Maraldi 3|37,40|19,09|3,0|3,0|?
MARALDI A|36,30|20,02|8,0|8,0|?
Maraldi B 1|36,69|13,47|7,0|5,0|?
Maraldi B 2|36,49|13,59|7,0|6,0|?
Maraldi B 3|36,79|13,65|6,0|4,0|?
Maraldi B 4|36,37|13,77|8,0|8,0|?
Maraldi B 5|36,11|13,95|9,0|9,0|?
Maraldi B 6|35,48|14,06|6,0|6,0|?
Maraldi B 7|35,85|14,12|6,9|6,9|?
Maraldi B 8|38,16|15,96|1,0|1,0|?
Maraldi BA 1|38,99|21,35|5,0|5,0|?
MARALDI D|36,08|16,74|67,0|67,0|?
Maraldi D 1|36,06|15,60|4,0|4,0|?
Maraldi D 2|36,50|17,58|14,0|14,0|?
MARALDI E|35,76|17,87|31,0|31,0|?
MARALDI F|35,85|19,19|18,0|18,0|?
Maraldi G 1|35,19|20,43|18,0|18,0|1100
Maraldi M 1|37,69|17,52|7,0|7,0|?
MARCO POLO|-2,05|15,52|28,0|21,0|?
MARCO POLO A|-1,96|14,90|7,0|7,0|?
MARCO POLO B|-1,88|17,18|7,0|7,0|?
MARCO POLO C|-5,01|14,03|7,0|7,0|?
MARCO POLO D|-3,79|14,93|6,0|6,0|?
MARCO POLO H|-1,69|17,81|6,0|6,0|?
MARCO POLO K|-1,50|18,13|10,0|10,0|?
MARCO POLO L|-5,02|14,82|19,0|19,0|?
MARCO POLO M|-1,12|17,54|37,0|37,0|?
MARCO POLO P|-0,32|16,97|31,0|31,0|?
MARCO POLO S|0,01|17,76|21,0|21,0|?
MARE ANGUIS|67,58|22,43|130,0|30,0|?
MARE AUSTRALE|91,99|-47,77|500,0|100,0|?
MARE COGNITUM|-22,31|-10,53|300,0|200,0|?
MARE CRISIUM|59,10|16,18|620,0|570,0|?
MARE FECUNDITATIS|53,67|-7,83|600,0|500,0|?
MARE FRIGORIS|-0,01|57,59|1800,0|200,0|?
MARE HUMBOLDTIANUM|81,54|56,92|161,0|160,0|?
MARE HUMORUM|-38,57|-24,48|380,0|380,0|?
MARE IMBRIUM|-14,91|34,72|1250,0|1250,0|?
MARE INSULARUM|-30,64|7,79|900,0|900,0|?
MARE MARGINIS|86,52|12,70|360,0|160,0|?
MARE NECTARIS|34,60|-15,19|350,0|350,0|?
MARE NUBIUM|-17,29|-20,59|750,0|750,0|?
MARE ORIENTALE|-94,67|-19,87|300,0|300,0|?
MARE SERENITATIS|18,36|27,29|650,0|650,0|?
MARE SMYTHII|87,05|-1,71|200,0|200,0|?
MARE SPUMANS|65,30|1,30|200,0|100,0|?
MARE TRANQUILLITATIS|30,83|8,35|700,0|700,0|?
MARE UNDARUM|68,66|7,49|200,0|100,0|?
MARE VAPORUM|4,09|13,20|230,0|230,0|?
MARINUS|76,57|-39,38|58,0|58,0|?
MARINUS A|73,27|-39,92|27,0|27,0|?
MARINUS B|74,62|-39,67|59,0|59,0|?
MARINUS C|73,47|-38,05|37,0|37,0|?
MARINUS E|76,82|-36,28|17,0|17,0|?
MARINUS F|74,88|-41,40|17,0|17,0|?
MARINUS G|76,59|-40,44|21,0|21,0|?
MARINUS H|77,68|-40,20|16,0|16,0|?
MARINUS J|70,97|-39,62|10,0|10,0|?
MARINUS M|80,77|-37,44|26,0|26,0|?
MARINUS N|77,84|-37,51|16,0|16,0|?
MARINUS R|75,48|-38,02|44,0|44,0|?
MARIUS|-50,84|11,90|41,0|41,0|1670
Marius 1|-51,58|8,92|15,0|10,0|?
Marius 10|-53,59|11,01|4,0|6,0|?
Marius 11|-52,54|11,07|4,0|4,0|?
Marius 12|-52,00|11,19|9,0|9,0|?
Marius 13|-52,38|11,19|9,0|9,0|?
Marius 14|-52,49|11,24|2,0|2,0|?
Marius 15|-54,01|13,12|5,0|5,0|?
Marius 16|-52,41|13,65|9,0|5,0|?
Marius 17|-50,98|13,95|5,0|10,0|?
Marius 18|-52,14|14,00|7,0|4,0|?
Marius 19|-49,95|14,24|3,0|3,0|?
Marius 2|-52,34|9,85|3,0|6,0|?
Marius 20|-53,68|14,24|5,0|5,0|?
Marius 21|-53,43|14,66|4,0|4,0|?
Marius 22|-50,08|14,95|5,0|5,0|?
Marius 23|-53,20|15,13|5,0|5,0|?
Marius 3|-50,79|10,02|6,0|6,0|?
Marius 4|-50,26|10,54|8,0|8,0|?
Marius 5|-51,38|10,60|6,0|6,0|?
Marius 6|-52,33|10,60|6,0|6,0|?
Marius 7|-51,33|10,78|7,0|7,0|?
Marius 8|-52,03|10,95|5,0|5,0|?
Marius 9|-53,09|10,95|14,0|14,0|?
MARIUS A|-46,04|12,60|15,0|15,0|?
Marius A 1|-55,11|9,90|5,0|12,0|?
MARIUS B|-47,35|16,33|12,0|12,0|?
Marius B 1|-50,99|9,67|12,0|7,0|?
MARIUS C|-47,64|13,98|11,0|11,0|?
Marius C 1|-49,84|14,48|4,0|9,0|?
Marius C 2|-47,86|15,07|3,0|3,0|?
MARIUS D|-45,07|11,40|9,0|9,0|?
Marius D 1|-51,64|14,24|17,0|8,0|?
MARIUS E|-52,73|12,13|6,0|6,0|?
Marius E 1|-52,26|11,48|8,0|8,0|?
Marius E 2|-52,48|11,95|8,0|8,0|?
Marius E 3|-52,98|12,01|8,0|12,0|?
MARIUS F|-45,30|12,11|6,0|6,0|?
Marius F 1|-52,94|14,95|9,0|9,0|?
Marius G 1|-52,65|14,95|10,0|18,0|?
Marius H 1|-52,19|8,16|4,0|9,0|?
Marius I 1|-56,38|13,41|10,0|10,0|?
Marius K 1|-50,33|13,00|6,0|6,0|?
MARIUS L|-55,70|15,88|8,0|8,0|?
Marius L 1|-55,55|15,13|3,0|3,0|?
Marius L 2|-53,42|19,27|0,0|0,0|?
MARIUS M|-55,01|17,38|6,0|6,0|?
Marius M 1|-48,96|13,95|14,0|35,0|?
Marius Q 1|-55,04|14,89|7,0|14,0|600
Marius R 1|-51,54|11,24|15,0|8,0|?
Marius R 2|-50,32|13,30|7,0|7,0|?
Marius R 3|-50,93|13,47|0,0|0,0|?
MARIUS S|-47,13|13,81|7,0|7,0|?
Marius S 1|-55,43|9,96|6,0|14,0|?
Marius T 1|-54,98|-10,95|45,0|60,0|?
Marius U 1|-52,49|13,30|7,0|12,0|?
Marius X 1|-53,02|9,44|4,0|7,0|?
Marius Z 1|-54,08|13,95|6,0|6,0|?
MARKOV|-62,84|53,43|41,0|41,0|2450
MARKOV E|-60,28|50,66|13,0|13,0|?
MARKOV F|-62,04|50,10|8,0|8,0|?
MARKOV U|-60,16|51,90|29,0|29,0|?
MARTH|-29,35|-31,16|7,0|7,0|?
MARY|27,39|18,93|0,5|0,5|
MASKELYNE|30,04|2,16|25,0|25,0|2500
Maskelyne 1|36,52|5,91|12,0|3,0|?
MASKELYNE A|34,09|0,03|29,0|29,0|?
MASKELYNE C|32,67|1,07|9,0|9,0|?
MASKELYNE D|32,45|2,41|33,0|33,0|?
Maskelyne D 1|33,81|2,41|7,0|7,0|?
Maskelyne E 1|34,93|4,30|30,0|30,0|?
Maskelyne E 2|35,97|6,14|10,0|10,0|?
MASKELYNE F|35,30|4,18|21,0|21,0|?
Maskelyne F 1|34,10|6,49|10,0|10,0|?
Maskelyne F 2|36,94|3,15|8,0|8,0|?
Maskelyne F 3|36,58|3,15|30,0|30,0|?
Maskelyne F 4|33,54|4,30|21,0|21,0|?
Maskelyne F 5|34,24|4,47|11,0|11,0|?
MASKELYNE G|26,70|2,30|6,0|6,0|?
Maskelyne H 1|30,83|4,30|20,9|20,9|?
Maskelyne H 2|30,81|5,28|3,5|3,5|?
MASKELYNE M|27,88|7,80|8,0|8,0|?
Maskelyne N 1|30,18|6,03|7,0|7,0|?
MASKELYNE P|34,14|0,47|10,0|10,0|?
MASKELYNE R|31,33|3,00|13,0|13,0|?
MASON|30,51|42,70|43,0|33,0|?
MASON B|29,66|41,84|10,0|10,0|?
Mason B 1|29,67|40,92|6,2|6,2|?
MASON C|33,87|42,90|12,0|12,0|?
MAUPERTUIS|-27,28|49,70|46,0|46,0|?
MAUPERTUIS A|-24,75|50,66|14,0|14,0|?
MAUPERTUIS B|-26,80|51,37|6,0|6,0|?
MAUPERTUIS C|-24,09|50,30|11,0|11,0|?
MAUPERTUIS K|-25,10|49,33|6,0|6,0|?
MAUPERTUIS L|-29,24|51,34|6,0|6,0|?
MAUROLYCUS|13,92|-41,77|114,0|114,0|4700
Maurolycus 1|14,89|-41,30|5,0|7,0|?
MAUROLYCUS A|14,14|-43,56|15,0|15,0|?
MAUROLYCUS B|11,74|-40,34|12,0|12,0|?
MAUROLYCUS C|10,76|-38,71|9,0|9,0|?
MAUROLYCUS D|13,19|-39,18|45,0|45,0|?
MAUROLYCUS E|9,71|-38,43|6,0|6,0|?
MAUROLYCUS F|12,22|-40,66|25,0|25,0|?
MAUROLYCUS G|11,51|-44,51|7,0|7,0|?
MAUROLYCUS H|10,39|-38,30|7,0|7,0|?
MAUROLYCUS J|13,94|-42,57|9,0|9,0|?
MAUROLYCUS K|12,66|-39,99|8,0|8,0|?
MAUROLYCUS L|14,44|-42,11|6,0|6,0|?
MAUROLYCUS M|12,53|-41,94|10,0|10,0|?
MAUROLYCUS N|14,02|-41,08|7,0|7,0|?
MAUROLYCUS S|17,01|-42,08|7,0|7,0|?
MAUROLYCUS T|11,42|-41,34|10,0|10,0|?
MAURY|39,69|37,11|18,0|18,0|3270
MAURY A|41,90|35,99|21,0|21,0|?
MAURY B|42,05|35,11|9,0|9,0|?
Maury B 1|41,33|34,54|7,0|17,0|?
MAURY C|38,68|36,98|28,0|28,0|?
MAURY D|37,78|38,27|8,0|8,0|?
Maury D 2|38,55|38,61|0,0|0,0|?
MAURY J|40,09|39,04|6,0|6,0|?
MAURY M|42,55|40,86|16,0|16,0|?
MAURY N|41,77|40,36|17,0|17,0|?
MAURY P|37,98|40,01|12,0|12,0|?
MAVIS|-26,36|29,76|1,1|1,1|
MCCLURE|50,24|-15,32|25,0|25,0|1500
McClure 1|52,74|-13,77|9,0|9,0|?
McClure 2|50,40|15,07|10,0|10,0|?
MCCLURE A|48,95|-15,60|6,0|6,0|?
MCCLURE B|49,33|-15,49|9,0|9,0|?
MCCLURE C|49,86|-14,73|27,0|27,0|?
MCCLURE D|51,74|-14,80|22,0|22,0|?
MCCLURE M|51,24|-14,19|21,0|21,0|?
MCCLURE N|52,71|-14,19|9,0|9,0|?
McClure N 1|53,13|-13,77|10,0|10,0|?
MCCLURE P|53,37|-14,77|16,0|16,0|?
McClure S 1|53,60|-14,00|5,0|5,0|?
MEE|-35,19|-43,63|133,0|133,0|?
MEE A|-29,27|-44,49|14,0|14,0|?
MEE B|-31,17|-44,58|15,0|15,0|?
MEE C|-28,72|-45,28|13,0|13,0|?
MEE D|-33,02|-45,40|9,0|9,0|?
MEE E|-35,41|-43,15|16,0|16,0|?
MEE F|-36,83|-43,37|12,0|12,0|?
MEE G|-40,73|-45,48|23,0|23,0|?
MEE H|-39,62|-44,21|48,0|48,0|?
MEE J|-40,70|-44,49|10,0|10,0|?
MEE K|-41,62|-44,45|9,0|9,0|?
MEE L|-41,55|-44,00|8,0|8,0|?
MEE M|-29,25|-45,91|8,0|8,0|?
MEE N|-42,26|-45,26|6,0|6,0|?
MEE P|-30,05|-45,97|14,0|14,0|?
MEE R|-43,44|-44,08|10,0|10,0|?
MEE S|-41,08|-43,27|12,0|12,0|?
MEE T|-38,31|-42,56|9,0|9,0|?
MEE U|-34,02|-42,96|8,0|8,0|?
