Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
ANN|-0,05|25,11|2,1|2,1|
ANNEGRIT|-25,64|29,43|1,3|1,3|
ANSGARIUS|79,72|-12,92|94,0|94,0|?
ANSGARIUS B|84,11|-11,99|29,0|29,0|?
ANSGARIUS C|74,83|-14,79|14,0|14,0|?
ANSGARIUS M|78,79|-11,25|7,0|7,0|?
ANSGARIUS N|81,18|-11,91|10,0|10,0|?
ANSGARIUS P|75,66|-13,06|10,0|10,0|?
ANVILLE|49,51|1,84|12,0|11,0|1800
APENNINE FRONT|3,70|25,90|6,0|6,0|
APIANUS|7,87|-26,96|63,0|63,0|2080
APIANUS A|6,52|-25,70|14,0|14,0|?
APIANUS B|8,99|-27,40|10,0|10,0|?
APIANUS C|10,46|-28,13|20,0|20,0|?
APIANUS D|10,66|-26,08|35,0|35,0|?
APIANUS E|8,19|-28,85|9,0|9,0|?
APIANUS F|6,33|-28,14|6,0|6,0|?
APIANUS H|8,64|-28,15|7,0|7,0|?
APIANUS J|8,52|-26,33|7,0|7,0|?
APIANUS K|9,31|-27,48|7,0|7,0|?
APIANUS M|10,29|-24,78|7,0|7,0|?
APIANUS P|9,13|-25,29|40,0|40,0|?
APIANUS R|8,89|-25,79|13,0|13,0|?
APIANUS S|8,47|-25,81|8,0|8,0|?
APIANUS T|9,45|-27,73|12,0|12,0|?
APIANUS U|8,98|-27,91|16,0|16,0|?
APIANUS W|7,46|-25,60|9,0|9,0|?
APOLLONIUS|60,96|4,51|53,0|53,0|1700
APOLLONIUS A|56,85|4,82|24,0|24,0|?
APOLLONIUS B|57,60|5,87|32,0|32,0|?
APOLLONIUS E|61,86|4,34|16,0|16,0|?
APOLLONIUS F|59,94|5,60|16,0|16,0|?
APOLLONIUS H|59,51|3,43|20,0|20,0|?
APOLLONIUS J|57,48|4,63|12,0|12,0|?
APOLLONIUS L|54,57|6,47|9,0|9,0|?
APOLLONIUS M|61,77|4,73|10,0|10,0|?
APOLLONIUS N|63,77|4,75|9,0|9,0|?
APOLLONIUS S|62,58|1,26|15,0|15,0|?
Apollonius S 1|64,73|1,43|34,5|34,5|?
APOLLONIUS U|59,87|4,89|7,0|7,0|?
APOLLONIUS V|58,22|4,39|16,0|16,0|?
APOLLONIUS X|58,18|6,90|31,0|31,0|?
APOLLONIUS Y|62,60|4,88|10,0|10,0|?
ARAGO|21,43|6,15|27,0|26,0|1800
Arago 1|20,86|4,47|13,0|14,0|?
Arago 1|20,71|9,26|5,0|6,8|?
Arago 10|20,94|8,92|6,0|9,6|?
Arago 11|21,57|9,15|6,0|7,0|?
